,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
GPHN,0.003544361080961107,-0.0029879122448631715,0.004769295511109126,-0.003434378748738019,-0.0005149492320835421,Trajectory-2,0.0,39.0
CCDC73,0.002574195202770078,-5.765204305636885e-05,-0.0022346214625567204,0.003115990846281842,-0.0010107633435202602,Trajectory-2,0.0,74.0
AC246817.1,0.0032841406829274117,-0.002012241456476112,0.0020191278827332393,0.0021736361718546105,-0.0009405747319142638,Trajectory-2,0.0,56.0
INVS,0.0016217261329293652,0.0016402238526695536,-0.003708440402779468,0.000700468802825905,1.5333843974289276e-05,Trajectory-2,0.0,85.0
SLCO4C1,0.0020769844371194353,0.002166084726559456,-0.00945863821590634,0.0026394770870163016,-0.0014437778944476468,Trajectory-2,0.0,117.0
KLF5,0.0018810157762350138,0.0019479888745814562,-0.007063551133117365,-0.0023519241719304543,-0.0008264790824805711,Trajectory-2,0.0,93.0
DOCK4,0.001710099184174985,0.0024456032352971812,-0.007469731524703883,0.003349484174312279,0.00012140042392341603,Trajectory-2,0.0,108.0
VNN1,0.003591939553357072,-0.003280432268810758,0.0060205188290908245,-0.0012533801617777896,-0.00036955687476246374,Trajectory-2,0.0,33.0
FRMD3,0.003267810019785988,-0.0020040613521629586,0.0022370052010482993,0.0016196786922723675,-0.0007320215547922892,Trajectory-2,0.0,53.0
PLEKHG2,0.0026561695352498586,0.0005669816317582148,-0.006495590882930361,0.0019523038809321042,-0.0024864956553060187,Trajectory-2,0.0,96.0
C8orf37-AS1,0.003921864002042889,-0.0051891400332824645,0.01417779462025636,-0.007077597976523966,0.003532247883045859,Trajectory-2,0.0,5.0
HESX1,0.003459143442395281,-0.003249296648535695,0.007624028101203611,-0.001004879244436998,0.0015041361221825552,Trajectory-2,0.0,28.0
ITGA1,0.0032509420878634662,-0.0021043507688481683,0.0030658939197387067,-0.0005648651694013085,3.150786514962205e-05,Trajectory-2,0.0,47.0
SLC24A4,0.0038004197610683713,-0.004490660901185515,0.011357807185982421,-0.0036989080959964576,0.0022866821395930454,Trajectory-2,0.0,12.0
